"logPo2" " T/C" "Ox content" "Charge"  "relax number"  Ca3Co4O9 weight: 0.1406 density:  4.60 molar mass:  499.9 cell volume: 0.600
 -0.871   900.8   8.63403    2.51299  138
 -0.874   900.7   8.68036    2.51309  139
 -0.875   900.5   8.72666    2.51193  140
 -0.862   900.3   8.77277    2.51183  141
 -0.831   900.7   8.81862    2.51123  142
 -0.824   900.4   8.86480    2.51243  143
 -0.743   900.6   8.90981    2.51257  144
 -0.563   900.5   8.95218    2.51171  145
 -0.186   900.9   8.98261    2.51264  146
 -0.553   849.3   8.99766    0.00000  147
 -0.389   850.2   9.01671    1.33762  148
 -0.170   850.0   9.03522    1.64408  149
 -0.421   849.9   9.02058   -1.50263  150
 -0.668   849.7   9.00570   -1.19923  151
 -0.893   850.0   8.99157   -0.97357  152
 -1.106   850.0   8.97774   -0.86944  153
 -1.273   849.8   8.96379   -0.81648  154
 -1.391   849.7   8.94631   -0.97880  155
 -1.621   849.9   8.91643   -1.66165  156
 -1.609   849.8   8.88965   -1.45191  157
 -1.403   849.8   8.91578    1.45393  158
 -1.272   850.0   8.93364    1.00223  159
 -1.080   849.6   8.95080    1.00237  160
 -0.952   850.0   8.96801    1.00212  161
 -0.842   849.8   8.98505    1.00199  162
 -0.669   849.8   9.00053    1.00802  163
 -0.486   849.9   9.01406    1.00154  164
 -0.322   849.8   9.02593    1.00261  165
 -0.178   850.0   9.03619    1.00291  166
 -0.393   800.8   9.04675    0.00000  167
 -0.261   799.8   9.05859    1.00186  168
 -0.445   800.0   9.04886   -1.00242  169
 -0.665   799.4   9.03694   -1.00192  170
 -0.890   799.4   9.02413   -0.91370  171
 -1.106   799.5   9.01147   -0.81325  172
 -1.325   799.1   8.99898   -0.75475  173
 -1.525   799.4   8.98705   -0.69132  174
 -1.299   799.3   8.99891    0.69422  175
 -1.115   799.2   9.00906    0.61739  176
 -0.928   799.3   9.01954    0.67158  177
 -0.743   799.6   9.02995    0.72121  178
 -0.572   799.2   9.04032    0.78139  179
 -0.397   799.4   9.05103    0.91352  180
 -0.240   799.5   9.06151    1.00539  181
 -0.462   749.8   9.07137    0.00000  182
 -0.293   749.9   9.08192    1.00164  183
 -0.481   749.8   9.07207   -1.00217  184
 -0.707   749.9   9.06006   -1.00224  185
 -0.943   749.9   9.04764   -0.89014  186
 -1.168   749.7   9.03595   -0.75444  187
 -1.379   749.6   9.02479   -0.67440  188
 -1.587   749.2   9.01375   -0.64071  189
 -1.782   749.5   9.00283   -0.61702  190
 -1.996   749.5   8.99144   -0.63515  191
 -2.195   749.5   8.98064   -0.59600  192
 -2.394   749.6   8.96966   -0.60202  193
 -2.598   749.4   8.95860   -0.60419  194
 -2.797   749.5   8.94769   -0.59476  195
 -2.994   749.5   8.93671   -0.59750  196
 -3.187   749.6   8.92548   -0.61021  197
 -3.345   749.5   8.91380   -0.63429  198
 -3.434   749.6   8.89900   -0.80361  199
 -2.455   800.0   8.89886    0.00000  200
 -1.587   850.9   8.89788    0.00000  201
 -0.940   900.4   8.89419    0.00000  202
 -0.956   900.2   8.87955   -0.80408  203
 -1.454   850.3   8.88266    0.00000  204
 -2.005   799.6   8.88375    0.00000  205
 -2.489   750.4   8.88405    0.00000  206
 -2.042   799.3   8.88379    0.00000  207
 -1.565   850.0   8.88301    0.00000  208
 -0.945   900.6   8.87943    0.00000  209
 -0.952   901.0   8.84242   -2.01317  210
 -1.491   849.4   8.84569    0.00000  211
 -2.063   799.6   8.84671    0.00000  212
 -2.559   750.4   8.84698    0.00000  213
 -2.103   799.2   8.84675    0.00000  214
 -1.590   850.0   8.84598    0.00000  215
 -0.955   900.5   8.84245    0.00000  216
 -0.958   900.9   8.80538   -2.01340  217
 -1.519   849.3   8.80868    0.00000  218
 -2.077   799.9   8.80963    0.00000  219
 -2.594   749.6   8.80989    0.00000  220
 -2.129   799.1   8.80967    0.00000  221
 -1.599   850.1   8.80891    0.00000  222
 -0.959   900.6   8.80540    0.00000  223
 -0.967   900.3   8.74999   -3.01179  224
 -1.511   850.5   8.75317    0.00000  225
 -2.116   799.0   8.75417    0.00000  226
 -2.623   750.5   8.75441    0.00000  227
 -2.158   799.3   8.75420    0.00000  228
 -1.591   850.5   8.75339    0.00000  229
 -0.976   899.8   8.75008    0.00000  230
 -0.976   900.1   8.69460   -3.01073  231
 -1.523   850.4   8.69773    0.00000  232
 -2.129   799.3   8.69871    0.00000  233
 -2.657   749.7   8.69894    0.00000  234
 -2.179   799.3   8.69874    0.00000  235
 -1.602   850.4   8.69795    0.00000  236
 -0.986   900.2   8.69470    0.00000  237
 -0.968   900.3   8.63902   -3.01246  238
 -1.532   849.9   8.64225    0.00000  239
 -2.142   799.1   8.64321    0.00000  240
 -2.666   750.8   8.64344    0.00000  241
 -2.190   799.3   8.64325    0.00000  242
 -1.612   850.1   8.64247    0.00000  243
 -0.977   900.6   8.63911    0.00000  244
 -0.978   900.9   8.58358   -3.01470  245
 -1.542   849.8   8.58674    0.00000  246
 -2.160   799.2   8.58768    0.00000  247
 -2.691   750.7   8.58790    0.00000  248
 -2.210   799.6   8.58771    0.00000  249
 -1.623   850.3   8.58695    0.00000  250
 -0.989   900.3   8.58369    0.00000  251
 -0.980   901.0   8.52814   -3.00984  252
 -1.536   850.7   8.53126    0.00000  253
 -2.172   799.2   8.53223    0.00000  254
 -2.709   750.8   8.53245    0.00000  255
 -2.221   799.4   8.53227    0.00000  256
 -1.625   850.1   8.53150    0.00000  257
 -0.993   900.3   8.52827    0.00000  258
 -0.991   900.2   8.47277   -3.01123  259
 -1.538   850.9   8.47579    0.00000  260
 -2.176   799.9   8.47675    0.00000  261
 -2.793   750.4   8.47698    0.00000  262
 -2.258   799.1   8.47681    0.00000  263
 -1.627   850.0   8.47602    0.00000  264
 -0.987   900.5   8.47273    0.00000  265
 -0.991   900.2   8.41729   -3.01084  266
 -1.543   850.8   8.42033    0.00000  267
 -2.190   799.3   8.42129    0.00000  268
 -2.813   749.7   8.42151    0.00000  269
 -2.261   799.2   8.42133    0.00000  270
 -1.633   850.1   8.42056    0.00000  271
 -1.001   900.1   8.41739    0.00000  272
 -0.990   900.9   8.36182   -3.01085  273
 -1.562   849.8   8.36491    0.00000  274
 -2.204   799.2   8.36582    0.00000  275
 -2.836   749.6   8.36604    0.00000  276
 -2.270   799.2   8.36586    0.00000  277
 -1.632   850.3   8.36509    0.00000  278
 -1.004   900.1   8.36194    0.00000  279
 -0.995   900.9   8.30636   -3.01174  280
 -1.557   850.6   8.30940    0.00000  281
 -2.207   799.4   8.31033    0.00000  282
 -2.851   749.5   8.31055    0.00000  283
 -2.277   799.3   8.31038    0.00000  284
 -1.631   849.5   8.30959    0.00000  285
 -1.020   899.3   8.30660    0.00000  286
 -1.007   900.0   8.25099   -3.01158  287
 -1.561   850.7   8.25392    0.00000  288
 -2.217   799.4   8.25485    0.00000  289
 -2.852   750.5   8.25506    0.00000  290
 -2.281   799.2   8.25489    0.00000  291
 -1.635   850.2   8.25411    0.00000  292
 -1.005   900.3   8.25097    0.00000  293
 -1.001   900.4   8.19546   -3.01097  294
 -1.562   850.9   8.19845    0.00000  295
 -2.224   799.3   8.19938    0.00000  296
 -2.882   749.3   8.19959    0.00000  297
 -2.286   799.1   8.19942    0.00000  298
 -1.637   849.9   8.19864    0.00000  299
 -1.013   900.2   8.19557    0.00000  300
 -1.006   900.7   8.14006   -3.00934  301
 -1.575   850.6   8.14304    0.00000  302
 -2.225   800.1   8.14393    0.00000  303
 -2.903   749.2   8.14415    0.00000  304
 -2.269   800.1   8.14396    0.00000  305
 -1.636   850.1   8.14319    0.00000  306
 -1.016   900.1   8.14015    0.00000  307
 -1.010   900.7   8.08460   -3.01193  308
 -1.576   850.6   8.08755    0.00000  309
 -2.244   799.1   8.08845    0.00000  310
 -2.923   749.9   8.08866    0.00000  311
 -2.271   800.0   8.08847    0.00000  312
 -1.633   850.1   8.08769    0.00000  313
 -1.013   900.4   8.08463    0.00000  314
 -1.012   900.7   8.02913   -3.01217  315
 -1.588   850.5   8.03208    0.00000  316
 -2.252   799.2   8.03296    0.00000  317
 -2.940   749.2   8.03316    0.00000  318
 -2.291   799.0   8.03298    0.00000  319
 -1.631   850.3   8.03219    0.00000  320
 -1.021   900.1   8.02921    0.00000  321
 -1.013   900.8   7.97362   -3.01286  322
 -1.585   850.4   7.97656    0.00000  323
 -2.262   799.0   7.97745    0.00000  324
 -2.945   750.2   7.97765    0.00000  325
 -2.284   799.1   7.97746    0.00000  326
 -1.630   850.0   7.97667    0.00000  327
 -1.013   900.4   7.97362    0.00000  328
 -1.021   900.8   7.91821   -3.01179  329
 -1.588   850.9   7.92108    0.00000  330
 -2.264   800.0   7.92196    0.00000  331
 -2.971   750.3   7.92216    0.00000  332
 -2.298   799.1   7.92198    0.00000  333
 -1.628   849.9   7.92118    0.00000  334
 -1.029   900.2   7.91828    0.00000  335
 -1.016   900.8   7.89970   -1.00177  336
 -1.587   850.4   7.90261    0.00000  337
 -2.273   799.2   7.90351    0.00000  338
 -2.995   749.2   7.90370    0.00000  339
 -2.288   799.0   7.90352    0.00000  340
 -1.621   850.0   7.90270    0.00000  341
 -1.028   900.4   7.89981    0.00000  342
 -1.023   900.7   7.88129   -1.00234  343
 -1.622   849.5   7.88423    0.00000  344
 -2.277   799.5   7.88504    0.00000  345
 -3.019   749.4   7.88524    0.00000  346
 -2.287   800.2   7.88505    0.00000  347
 -1.628   849.8   7.88425    0.00000  348
 -1.031   900.5   7.88137    0.00000  349
 -1.022   900.9   7.86273   -1.00715  350
 -1.608   849.7   7.86564    0.00000  351
 -2.290   799.1   7.86649    0.00000  352
 -3.029   749.3   7.86668    0.00000  353
 -2.304   799.1   7.86650    0.00000  354
 -1.619   850.0   7.86567    0.00000  355
 -1.034   900.2   7.86284    0.00000  356
 -1.033   900.3   7.84437   -1.00217  357
 -1.592   850.8   7.84714    0.00000  358
 -2.296   799.2   7.84803    0.00000  359
 -3.031   750.3   7.84822    0.00000  360
 -2.306   799.1   7.84804    0.00000  361
 -1.616   849.9   7.84720    0.00000  362
 -1.036   900.1   7.84439    0.00000  363
 -1.027   900.0   7.82583   -1.00293  364
 -1.590   850.6   7.82865    0.00000  365
 -2.303   799.1   7.82955    0.00000  366
 -3.049   750.1   7.82974    0.00000  367
 -2.283   799.9   7.82954    0.00000  368
 -1.612   850.0   7.82871    0.00000  369
 -1.036   900.1   7.82591    0.00000  370
 -1.038   901.0   7.80746   -1.00238  371
 -1.606   850.6   7.81023    0.00000  372
 -2.324   799.1   7.81110    0.00000  373
 -3.083   750.3   7.81127    0.00000  374
 -2.319   799.1   7.81109    0.00000  375
 -1.613   850.7   7.81024    0.00000  376
 -1.049   899.6   7.80756    0.00000  377
 -1.059   900.1   7.78918   -1.00220  378
 -1.617   850.7   7.79179    0.00000  379
 -2.346   799.3   7.79264    0.00000  380
 -3.145   749.3   7.79281    0.00000  381
 -2.313   800.3   7.79263    0.00000  382
 -1.623   850.2   7.79180    0.00000  383
 -1.044   900.4   7.78905    0.00000  384
 -1.049   900.5   7.77063   -1.00239  385
 -1.615   850.8   7.77331    0.00000  386
 -2.352   799.3   7.77418    0.00000  387
 -3.173   749.3   7.77435    0.00000  388
 -2.327   800.0   7.77416    0.00000  389
 -1.621   850.1   7.77333    0.00000  390
 -1.051   900.3   7.77064    0.00000  391
 -1.075   900.3   7.75237   -1.00269  392
 -1.646   850.7   7.75491    0.00000  393
 -2.404   799.1   7.75572    0.00000  394
 -3.229   750.3   7.75588    0.00000  395
 -2.403   799.1   7.75572    0.00000  396
 -1.648   849.8   7.75492    0.00000  397
 -1.066   900.2   7.75229    0.00000  398
 -1.103   900.1   7.73405   -1.00637  399
 -1.685   850.7   7.73646    0.00000  400
 -2.467   799.1   7.73721    0.00000  401
 -3.332   750.1   7.73734    0.00000  402
 -2.438   799.9   7.73720    0.00000  403
 -1.683   849.8   7.73645    0.00000  404
 -1.088   900.0   7.73393    0.00000  405
 -1.188   900.0   7.71617   -1.00227  406
 -1.807   850.6   7.71821    0.00000  407
 -2.633   799.1   7.71879    0.00000  408
 -3.530   750.4   7.71888    0.00000  409
 -2.633   799.1   7.71879    0.00000  410
 -1.804   849.8   7.71821    0.00000  411
 -1.163   900.1   7.71600    0.00000  412
 -1.618   900.8   7.69941   -1.00254  413
 -2.379   850.2   7.70024    0.00000  414
 -3.271   799.3   7.70040    0.00000  415
 -4.239   749.4   7.70042    0.00000  416
 -3.280   799.0   7.70040    0.00000  417
 -2.372   849.8   7.70024    0.00000  418
 -1.609   900.2   7.69939    0.00000  419
 -1.817   900.6   7.69149   -0.44998  420
 -2.619   849.2   7.69203    0.00000  421
 -3.503   799.2   7.69212    0.00000  422
 -4.485   749.3   7.69213    0.00000  423
 -3.522   799.0   7.69212    0.00000  424
 -2.603   849.9   7.69202    0.00000  425
 -1.812   900.1   7.69149    0.00000  426
 -1.982   900.6   7.68350   -0.44469  427
 -2.751   850.3   7.68386    0.00000  428
 -3.627   799.4   7.68393    0.00000  429
 -4.552   749.8   7.68394    0.00000  430
 -3.593   799.2   7.68393    0.00000  431
 -2.660   849.9   7.68384    0.00000  432
 -1.856   900.1   7.68335    0.00000  433
 -1.857   900.2   7.66490   -1.00161  434
 -2.547   850.3   7.66536    0.00000  435
